,src,target,similarity,category
0,..\selection\men\132\132_04_ref.jpg,..\selection\men\132\132_05_obscure.jpg,0.99358,obscure
1,..\selection\men\132\132_04_ref.jpg,..\selection\men\1337\1337_01_ref.jpg,0.54835,cross
2,..\selection\men\132\132_04_ref.jpg,..\selection\men\142\142_10_ref.jpg,0.17887,cross
3,..\selection\men\132\132_04_ref.jpg,..\selection\men\1879\1879_03_ref.jpg,0.14655,cross
4,..\selection\men\132\132_04_ref.jpg,..\selection\men\2144\2144_01_ref.jpg,0.08982,cross
5,..\selection\men\132\132_04_ref.jpg,..\selection\men\2670\2670_01_ref.jpg,0.17034,cross
6,..\selection\men\132\132_04_ref.jpg,..\selection\men\2706\2706_02_ref.jpg,0.46443,cross
7,..\selection\men\132\132_04_ref.jpg,..\selection\men\2926\2926_05_ref.jpg,0.12156,cross
8,..\selection\men\132\132_04_ref.jpg,..\selection\men\3006\3006_02_ref.jpg,0.44343,cross
9,..\selection\men\132\132_04_ref.jpg,..\selection\men\3119\3119_02_ref.jpg,0.8456,cross
10,..\selection\men\132\132_04_ref.jpg,..\selection\men\3149\3149_14_ref.jpg,0.11576,cross
11,..\selection\men\132\132_04_ref.jpg,..\selection\men\3154\3154_01_ref.jpg,0.05269,cross
12,..\selection\men\132\132_04_ref.jpg,..\selection\men\3166\3166_03_ref.jpg,0.21505,cross
13,..\selection\men\132\132_04_ref.jpg,..\selection\men\3188\3188_03_ref.jpg,0.34765,cross
14,..\selection\men\132\132_04_ref.jpg,..\selection\men\3193\3193_07_ref.jpg,0.02244,cross
15,..\selection\men\132\132_04_ref.jpg,..\selection\men\3208\3208_01_ref.jpg,0.15054,cross
16,..\selection\men\132\132_04_ref.jpg,..\selection\men\3211\3211_09_ref.jpg,0.01573,cross
17,..\selection\men\132\132_04_ref.jpg,..\selection\men\3240\3240_05_ref.jpg,0.41417,cross
18,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\1337\1337_06_obscure.jpg,0.39936,obscure
19,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\132\132_04_ref.jpg,0.54835,cross
20,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\142\142_10_ref.jpg,0.01185,cross
21,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\1879\1879_03_ref.jpg,0.01412,cross
22,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\2144\2144_01_ref.jpg,0.01387,cross
23,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\2670\2670_01_ref.jpg,0.11338,cross
24,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\2706\2706_02_ref.jpg,0.2708,cross
25,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\2926\2926_05_ref.jpg,0.04535,cross
26,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3006\3006_02_ref.jpg,0.0512,cross
27,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3119\3119_02_ref.jpg,0.10046,cross
28,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3149\3149_14_ref.jpg,0.04207,cross
29,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3154\3154_01_ref.jpg,0.20962,cross
30,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3166\3166_03_ref.jpg,0.14739,cross
31,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3188\3188_03_ref.jpg,0.02656,cross
32,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3193\3193_07_ref.jpg,0.02706,cross
33,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3208\3208_01_ref.jpg,0.0468,cross
34,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3211\3211_09_ref.jpg,0.095,cross
35,..\selection\men\1337\1337_01_ref.jpg,..\selection\men\3240\3240_05_ref.jpg,0.35943,cross
36,..\selection\men\142\142_10_ref.jpg,..\selection\men\142\142_09_glasses.jpg,0.99559,glasses
