,src,target,similarity,category
0,..\selection\women\121\121_17_ref.jpg,..\selection\women\121\121_02_obscure.jpg,0.99164,obscure
1,..\selection\women\121\121_17_ref.jpg,..\selection\women\121\121_21_glasses.jpg,0.70491,glasses
2,..\selection\women\121\121_17_ref.jpg,..\selection\women\121\121_04_hair.jpg,0.98914,hair
3,..\selection\women\121\121_17_ref.jpg,..\selection\women\121\121_20_hair.jpg,0.98445,hair
4,..\selection\women\121\121_17_ref.jpg,..\selection\women\129\129_01_ref.jpg,0.37372,cross
5,..\selection\women\121\121_17_ref.jpg,..\selection\women\1513\1513_13_ref.jpg,0.36077,cross
6,..\selection\women\121\121_17_ref.jpg,..\selection\women\1550\1550_02_ref.jpg,0.09894,cross
7,..\selection\women\121\121_17_ref.jpg,..\selection\women\1678\1678_01_ref.jpg,0.20232,cross
8,..\selection\women\121\121_17_ref.jpg,..\selection\women\175\175_03_ref.jpg,0.55154,cross
9,..\selection\women\121\121_17_ref.jpg,..\selection\women\1998\1998_08_ref.jpg,0.06522,cross
10,..\selection\women\121\121_17_ref.jpg,..\selection\women\204\204_02_ref.jpg,0.5019,cross
11,..\selection\women\121\121_17_ref.jpg,..\selection\women\205\205_05_ref.jpg,0.07698,cross
12,..\selection\women\121\121_17_ref.jpg,..\selection\women\257\257_02_ref.jpg,0.07896,cross
13,..\selection\women\121\121_17_ref.jpg,..\selection\women\2887\2887_02_ref.jpg,0.12826,cross
14,..\selection\women\121\121_17_ref.jpg,..\selection\women\3027\3027_04_ref.jpg,0.11204,cross
15,..\selection\women\121\121_17_ref.jpg,..\selection\women\3052\3052_12_Ref.jpg,0.10066,Ref
16,..\selection\women\121\121_17_ref.jpg,..\selection\women\3059\3059_09_ref.jpg,0.2096,cross
17,..\selection\women\121\121_17_ref.jpg,..\selection\women\3097\3097_03_ref.jpg,0.05183,cross
18,..\selection\women\121\121_17_ref.jpg,..\selection\women\3098\3098_01_ref.jpg,0.45915,cross
19,..\selection\women\121\121_17_ref.jpg,..\selection\women\3125\3125_05_ref.jpg,0.04217,cross
20,..\selection\women\121\121_17_ref.jpg,..\selection\women\3168\3168_01_ref.jpg,0.08355,cross
21,..\selection\women\121\121_17_ref.jpg,..\selection\women\32\32_04_ref.jpg,0.31149,cross
22,..\selection\women\121\121_17_ref.jpg,..\selection\women\3280\3280_07_ref.jpg,0.0372,cross
23,..\selection\women\121\121_17_ref.jpg,..\selection\women\34\34_13_ref.jpg,0.30186,cross
24,..\selection\women\121\121_17_ref.jpg,..\selection\women\610\610_01_ref.jpg,0.08043,cross
25,..\selection\women\121\121_17_ref.jpg,..\selection\women\734\734_03_ref.jpg,0.27138,cross
26,..\selection\women\129\129_01_ref.jpg,..\selection\women\129\129_02_hair.jpg,0.42727,hair
27,..\selection\women\129\129_01_ref.jpg,..\selection\women\121\121_17_ref.jpg,0.37372,cross
28,..\selection\women\129\129_01_ref.jpg,..\selection\women\1513\1513_13_ref.jpg,0.63454,cross
29,..\selection\women\129\129_01_ref.jpg,..\selection\women\1550\1550_02_ref.jpg,0.43588,cross
30,..\selection\women\129\129_01_ref.jpg,..\selection\women\1678\1678_01_ref.jpg,0.0791,cross
31,..\selection\women\129\129_01_ref.jpg,..\selection\women\175\175_03_ref.jpg,0.11677,cross
